total,positive,hole_diameter,file_path
2478, 17, 70, 70um\MAX_Membrane_on_glass_r2_002.nd2 - Membrane_on_glass_r2_002.nd2 (series 3).tif
2757, 28, 70, 70um\MAX_Membrane_on_glass_r2_002.nd2 - Membrane_on_glass_r2_002.nd2 (series 3).tif
2354, 18, 100, 100um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 03).tif
2129, 59, 120, 120um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 05).tif
2102, 43, 120, 120um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 13).tif
2349, 27, 120, 120um\MAX_Membrane_on_glass_r2_002.nd2 - Membrane_on_glass_r2_002.nd2 (series 4).tif
2305, 67, 135, 135um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 04).tif
2130, 61, 135, 135um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 06).tif
1816, 44, 135, 135um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 14).tif
1712, 29, 135, 135um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 15).tif
2123, 122, 150, 150um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 09).tif
2840, 127, 150, 150um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 11).tif
2013, 137, 150, 150um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 10).tif
1611, 33, 150, 150um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 18).tif
1653, 19, 150, 150um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 20).tif
2039, 59, 150, 150um\MAX_Membrane_on_glass_r2_002.nd2 - Membrane_on_glass_r2_002.nd2 (series 2).tif
1479, 56, 200, 200um\MAX_Membrane_on_glass_r1_001.tif
1245, 69, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 01).tif
1255, 17, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 02).tif
1191, 38, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 03).tif
1233, 56, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 04).tif
1619, 50, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 05).tif
1807, 130, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 06).tif
1578, 26, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 07).tif
2375, 249, 200, 200um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 08).tif
1919, 114, 200, 200um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 01).tif
1412, 131, 200, 200um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 21).tif
1439, 97, 200, 200um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 22).tif
2182, 30, 175, 175um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 13).tif
1910, 25, 175, 175um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 15).tif
1828, 45, 175, 175um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 16).tif
2275, 111, 175, 175um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 07).tif
1915, 76, 175, 175um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 11).tif
1281, 56, 175, 175um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 17).tif
1536, 19, 175, 175um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 19).tif
1900, 105, 185, 185um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 12).tif
1994, 58, 185, 185um\MAX_Membrane_on_glass_r1_002.nd2 - Membrane_on_glass_r1_002.nd2 (series 14).tif
2141, 118, 185, 185um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 09).tif
1692, 58, 185, 185um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 24).tif
1373, 29, 185, 185um\MAX_Membrane_on_glass_r1_003.nd2 - Membrane_on_glass_r1_003.nd2 (series 25).tif
